CMDLINE python test_lib_memoryleak.py
MEM 39.730469 1611149486.3497
MEM 39.742188 1611149487.3584
MEM 39.746094 1611149488.3664
MEM 39.750000 1611149489.3734
MEM 39.753906 1611149490.3796
MEM 39.761719 1611149491.3857
MEM 39.773438 1611149492.3919
MEM 39.820312 1611149493.3969
MEM 39.828125 1611149494.4074
MEM 39.828125 1611149495.4179
MEM 39.855469 1611149496.4228
MEM 39.921875 1611149497.4294
MEM 39.921875 1611149498.4349
MEM 39.984375 1611149499.4420
MEM 40.003906 1611149500.4520
MEM 40.007812 1611149501.4599
MEM 40.007812 1611149502.4680
MEM 40.140625 1611149503.4761
MEM 40.140625 1611149504.4859
MEM 40.312500 1611149505.4921
MEM 40.316406 1611149506.5012
MEM 40.320312 1611149507.5085
MEM 40.332031 1611149508.5173
MEM 40.339844 1611149509.5257
MEM 40.351562 1611149510.5354
MEM 40.367188 1611149511.5419
MEM 40.367188 1611149512.5515
MEM 40.367188 1611149513.5585
MEM 40.367188 1611149514.5644
MEM 40.394531 1611149515.5743
MEM 40.402344 1611149516.5798
MEM 40.410156 1611149517.5896
MEM 40.410156 1611149518.5952
MEM 40.433594 1611149519.6015
MEM 40.433594 1611149520.6085
MEM 40.445312 1611149521.6137
MEM 40.445312 1611149522.6196
MEM 40.457031 1611149523.6272
MEM 40.476562 1611149524.6331
MEM 40.496094 1611149525.6425
MEM 40.500000 1611149526.6511
MEM 40.500000 1611149527.6611
MEM 40.550781 1611149528.6709
MEM 40.562500 1611149529.6797
MEM 40.562500 1611149530.6867
MEM 40.574219 1611149531.6923
MEM 40.574219 1611149532.6998
MEM 40.585938 1611149533.7087
MEM 40.585938 1611149534.7186
MEM 40.589844 1611149535.7267
MEM 40.613281 1611149536.7341
MEM 40.617188 1611149537.7424
MEM 40.632812 1611149538.7511
MEM 40.636719 1611149539.7589
MEM 40.640625 1611149540.7687
MEM 40.640625 1611149541.7765
MEM 40.644531 1611149542.7863
MEM 40.652344 1611149543.7923
MEM 40.664062 1611149544.8019
MEM 40.687500 1611149545.8087
MEM 40.695312 1611149546.8173
MEM 40.722656 1611149547.8258
MEM 40.734375 1611149548.8348
