CMDLINE python test_lib_memoryleak.py
MEM 0.273438 1611223569.0412
MEM 36.320312 1611223579.0484
MEM 37.074219 1611223589.0542
MEM 37.523438 1611223599.0602
MEM 37.761719 1611223609.0658
MEM 38.281250 1611223619.0753
MEM 38.550781 1611223629.0811
MEM 38.929688 1611223639.0883
MEM 39.250000 1611223649.0964
MEM 39.468750 1611223659.1026
MEM 40.019531 1611223669.1093
MEM 40.328125 1611223679.1184
MEM 40.710938 1611223689.1285
MEM 40.816406 1611223699.1363
MEM 40.898438 1611223709.1469
MEM 40.984375 1611223719.1556
MEM 41.019531 1611223729.1612
MEM 41.097656 1611223739.1718
MEM 41.199219 1611223749.1788
MEM 41.199219 1611223759.1876
MEM 41.199219 1611223769.1975
MEM 41.289062 1611223779.2058
MEM 41.292969 1611223789.2154
MEM 41.390625 1611223799.2223
MEM 41.398438 1611223809.2288
MEM 41.406250 1611223819.2355
MEM 41.433594 1611223829.2441
MEM 41.449219 1611223839.2532
MEM 41.480469 1611223849.2603
MEM 41.503906 1611223859.2681
MEM 41.507812 1611223869.2732
MEM 41.519531 1611223879.2828
MEM 41.539062 1611223889.2899
MEM 41.542969 1611223899.2989
MEM 41.562500 1611223909.3069
MEM 41.628906 1611223919.3157
MEM 41.613281 1611223929.3234
MEM 41.613281 1611223939.3336
MEM 41.613281 1611223949.3400
MEM 41.613281 1611223959.3460
MEM 41.613281 1611223969.3561
MEM 41.613281 1611223979.3631
MEM 41.613281 1611223989.3681
MEM 41.621094 1611223999.3765
MEM 41.621094 1611224009.3817
MEM 41.625000 1611224019.3912
MEM 41.636719 1611224029.3982
MEM 41.636719 1611224039.4082
MEM 41.644531 1611224049.4179
MEM 41.648438 1611224059.4286
MEM 41.652344 1611224069.4381
MEM 41.652344 1611224079.4436
MEM 41.687500 1611224089.4500
MEM 41.730469 1611224099.4589
MEM 41.730469 1611224109.4680
MEM 41.730469 1611224119.4751
MEM 41.730469 1611224129.4814
MEM 41.730469 1611224139.4874
MEM 41.730469 1611224149.4938
MEM 41.730469 1611224159.5009
MEM 41.730469 1611224169.5088
MEM 41.734375 1611224179.5152
MEM 41.734375 1611224189.5240
MEM 41.734375 1611224199.5321
MEM 41.734375 1611224209.5393
MEM 41.734375 1611224219.5449
MEM 41.734375 1611224229.5549
MEM 41.738281 1611224239.5630
MEM 41.769531 1611224249.5698
MEM 41.769531 1611224259.5756
MEM 41.769531 1611224269.5815
MEM 41.769531 1611224279.5929
MEM 41.769531 1611224289.5982
MEM 41.769531 1611224299.6042
MEM 41.769531 1611224309.6148
MEM 41.777344 1611224319.6214
MEM 41.777344 1611224329.6313
MEM 41.781250 1611224339.6414
MEM 41.781250 1611224349.6489
MEM 41.781250 1611224359.6553
MEM 41.781250 1611224369.6626
MEM 41.781250 1611224379.6679
MEM 41.789062 1611224389.6767
MEM 41.789062 1611224399.6837
MEM 41.800781 1611224409.6925
MEM 41.808594 1611224419.7036
MEM 41.816406 1611224429.7094
MEM 41.824219 1611224439.7190
MEM 41.761719 1611224449.7252
MEM 41.761719 1611224459.7331
MEM 41.781250 1611224469.7421
MEM 41.792969 1611224479.7479
MEM 41.804688 1611224489.7555
MEM 41.812500 1611224499.7614
MEM 41.851562 1611224509.7680
MEM 41.855469 1611224519.7732
MEM 41.855469 1611224529.7782
MEM 41.863281 1611224539.7851
MEM 41.863281 1611224549.7903
MEM 41.863281 1611224559.7960
MEM 41.867188 1611224569.8058
MEM 41.875000 1611224579.8159
MEM 41.882812 1611224589.8225
MEM 41.910156 1611224599.8294
MEM 41.972656 1611224609.8354
MEM 41.992188 1611224619.8427
MEM 41.992188 1611224629.8533
MEM 41.992188 1611224639.8612
MEM 41.992188 1611224649.8701
MEM 41.992188 1611224659.8795
MEM 41.996094 1611224669.8858
MEM 41.996094 1611224679.8937
MEM 41.996094 1611224689.8995
MEM 41.996094 1611224699.9071
MEM 42.015625 1611224709.9122
MEM 42.019531 1611224719.9176
MEM 42.019531 1611224729.9246
MEM 42.031250 1611224739.9338
MEM 42.035156 1611224749.9403
MEM 42.046875 1611224759.9490
MEM 42.050781 1611224769.9583
MEM 42.078125 1611224779.9654
MEM 42.078125 1611224789.9745
MEM 42.078125 1611224799.9805
MEM 42.078125 1611224809.9890
MEM 42.078125 1611224819.9955
MEM 42.078125 1611224830.0028
MEM 42.078125 1611224840.0125
MEM 42.078125 1611224850.0199
MEM 42.078125 1611224860.0265
MEM 42.078125 1611224870.0345
MEM 42.078125 1611224880.0442
MEM 42.078125 1611224890.0533
MEM 42.078125 1611224900.0631
MEM 42.078125 1611224910.0709
MEM 42.082031 1611224920.0772
MEM 42.082031 1611224930.0903
MEM 42.089844 1611224940.1000
MEM 42.089844 1611224950.1100
MEM 42.097656 1611224960.1153
MEM 42.097656 1611224970.1240
MEM 42.101562 1611224980.1295
MEM 42.105469 1611224990.1374
MEM 42.125000 1611225000.1427
MEM 42.128906 1611225010.1492
MEM 42.136719 1611225020.1552
MEM 42.140625 1611225030.1643
MEM 42.148438 1611225040.1741
MEM 42.148438 1611225050.1857
MEM 42.191406 1611225060.1941
MEM 42.203125 1611225070.2025
MEM 42.265625 1611225080.2108
MEM 42.273438 1611225090.2156
MEM 42.273438 1611225100.2226
MEM 42.273438 1611225110.2296
MEM 42.273438 1611225120.2395
MEM 42.273438 1611225130.2452
MEM 42.273438 1611225140.2515
MEM 42.273438 1611225150.2611
MEM 42.273438 1611225160.2700
MEM 42.273438 1611225170.2778
MEM 42.273438 1611225180.2872
MEM 42.273438 1611225190.2945
MEM 42.273438 1611225200.3034
MEM 42.273438 1611225210.3121
MEM 42.273438 1611225220.3193
MEM 42.273438 1611225230.3286
MEM 42.273438 1611225240.3338
MEM 42.273438 1611225250.3430
MEM 42.273438 1611225260.3506
MEM 42.273438 1611225270.3566
MEM 42.273438 1611225280.3664
MEM 42.273438 1611225290.3732
MEM 42.273438 1611225300.3836
MEM 42.273438 1611225310.3930
MEM 42.273438 1611225320.4001
MEM 42.273438 1611225330.4061
MEM 42.277344 1611225340.4161
MEM 42.277344 1611225350.4226
MEM 42.277344 1611225360.4297
MEM 42.277344 1611225370.4375
MEM 42.277344 1611225380.4478
MEM 42.277344 1611225390.4555
MEM 42.277344 1611225400.4634
MEM 42.277344 1611225410.4730
MEM 42.277344 1611225420.4799
MEM 42.277344 1611225430.4896
MEM 42.281250 1611225440.4989
MEM 42.281250 1611225450.5072
MEM 42.285156 1611225460.5138
MEM 42.289062 1611225470.5232
MEM 42.289062 1611225480.5316
MEM 42.289062 1611225490.5395
MEM 42.289062 1611225500.5475
MEM 42.289062 1611225510.5573
MEM 42.289062 1611225520.5644
MEM 42.289062 1611225530.5743
MEM 42.289062 1611225540.5811
MEM 42.289062 1611225550.5895
MEM 42.289062 1611225560.5976
MEM 42.289062 1611225570.6050
MEM 42.289062 1611225580.6106
MEM 42.289062 1611225590.6203
MEM 42.292969 1611225600.6274
MEM 42.312500 1611225610.6343
MEM 42.312500 1611225620.6411
MEM 42.324219 1611225630.6496
MEM 42.382812 1611225640.6557
MEM 42.410156 1611225650.6648
MEM 42.410156 1611225660.6716
MEM 42.410156 1611225670.6812
MEM 42.410156 1611225680.6879
MEM 42.410156 1611225690.6937
MEM 42.410156 1611225700.7000
MEM 42.410156 1611225710.7049
MEM 42.410156 1611225720.7150
MEM 42.410156 1611225730.7202
MEM 42.410156 1611225740.7258
MEM 42.410156 1611225750.7338
MEM 42.410156 1611225760.7438
MEM 42.410156 1611225770.7497
MEM 42.410156 1611225780.7556
MEM 42.410156 1611225790.7609
MEM 42.410156 1611225800.7679
MEM 42.410156 1611225810.7791
MEM 42.339844 1611225820.7868
MEM 42.339844 1611225830.7936
MEM 42.339844 1611225840.8011
MEM 42.339844 1611225850.8120
MEM 42.339844 1611225860.8231
MEM 42.339844 1611225870.8327
MEM 42.339844 1611225880.8405
MEM 42.339844 1611225890.8471
MEM 42.339844 1611225900.8538
MEM 42.339844 1611225910.8602
MEM 42.339844 1611225920.8681
MEM 42.339844 1611225930.8742
MEM 42.339844 1611225940.8825
MEM 42.339844 1611225950.8883
MEM 42.339844 1611225960.8951
MEM 42.339844 1611225970.9056
MEM 42.378906 1611225980.9120
MEM 42.339844 1611225990.9186
MEM 42.339844 1611226000.9252
MEM 42.339844 1611226010.9357
MEM 42.339844 1611226020.9439
MEM 42.339844 1611226030.9520
MEM 42.339844 1611226040.9575
MEM 42.339844 1611226050.9649
MEM 42.339844 1611226060.9734
MEM 42.339844 1611226070.9795
MEM 42.339844 1611226080.9858
MEM 42.339844 1611226090.9918
MEM 42.339844 1611226100.9984
MEM 42.339844 1611226111.0065
MEM 42.339844 1611226121.0123
MEM 42.351562 1611226131.0201
MEM 42.386719 1611226141.0256
MEM 42.437500 1611226151.0319
MEM 42.371094 1611226161.0353
MEM 42.371094 1611226171.0392
MEM 42.375000 1611226181.0475
MEM 42.375000 1611226191.0523
MEM 42.398438 1611226201.0581
MEM 42.398438 1611226211.0675
MEM 42.398438 1611226221.0729
MEM 42.398438 1611226231.0800
MEM 42.398438 1611226241.0859
MEM 42.398438 1611226251.0957
MEM 42.398438 1611226261.1045
MEM 42.398438 1611226271.1138
MEM 42.398438 1611226281.1194
MEM 42.398438 1611226291.1311
MEM 42.410156 1611226301.1434
MEM 42.453125 1611226311.1491
MEM 42.460938 1611226321.1546
MEM 42.460938 1611226331.1688
MEM 42.460938 1611226341.1800
MEM 42.460938 1611226351.1925
MEM 42.460938 1611226361.2063
MEM 42.460938 1611226371.2180
MEM 42.460938 1611226381.2309
MEM 42.460938 1611226391.2388
MEM 42.468750 1611226401.2473
MEM 42.472656 1611226411.2577
MEM 42.472656 1611226421.2731
MEM 42.472656 1611226431.2822
MEM 42.476562 1611226441.2914
MEM 42.476562 1611226451.3036
MEM 42.476562 1611226461.3142
MEM 42.476562 1611226471.3215
MEM 42.476562 1611226481.3307
MEM 42.480469 1611226491.3392
MEM 42.480469 1611226501.3482
MEM 42.480469 1611226511.3565
MEM 42.480469 1611226521.3657
MEM 42.480469 1611226531.3752
MEM 42.480469 1611226541.3830
MEM 42.480469 1611226551.3927
MEM 42.480469 1611226561.4002
MEM 42.480469 1611226571.4072
MEM 42.488281 1611226581.4123
MEM 42.488281 1611226591.4189
MEM 42.488281 1611226601.4261
MEM 42.488281 1611226611.4362
MEM 42.488281 1611226621.4454
MEM 42.492188 1611226631.4551
MEM 42.492188 1611226641.4606
